date,PS5 Pro,iPhone 17,Air Jordan 11,Owala FreeSip,Nvidia RTX 5090
2021-04-11,2,0,30,0,0
2021-04-18,2,0,47,0,0
2021-04-25,2,0,39,0,0
2021-05-02,2,0,61,0,0
2021-05-09,2,0,40,0,0
2021-05-16,2,0,34,0,0
2021-05-23,2,0,30,0,0
2021-05-30,2,0,29,0,0
2021-06-06,2,0,26,0,0
2021-06-13,2,0,27,0,0
2021-06-20,2,0,26,0,0
2021-06-27,2,0,27,0,0
2021-07-04,2,0,26,0,0
2021-07-11,2,0,30,0,0
2021-07-18,2,0,33,0,0
2021-07-25,2,0,32,0,0
2021-08-01,2,0,34,0,0
2021-08-08,2,0,34,0,0
2021-08-15,2,0,35,0,0
2021-08-22,2,0,33,0,0
2021-08-29,2,0,31,0,0
2021-09-05,3,0,30,0,0
2021-09-12,3,0,34,0,0
2021-09-19,3,0,31,0,0
2021-09-26,3,0,29,0,0
2021-10-03,2,0,25,0,0
2021-10-10,2,0,26,0,0
2021-10-17,2,0,28,0,0
2021-10-24,2,0,25,0,0
2021-10-31,2,0,29,0,0
2021-11-07,3,0,33,0,0
2021-11-14,3,0,48,0,0
2021-11-21,4,0,53,0,0
2021-11-28,3,0,58,0,0
2021-12-05,3,0,99,0,0
2021-12-12,3,0,81,0,0
2021-12-19,3,0,61,0,0
2021-12-26,4,0,53,0,0
2022-01-02,4,0,38,0,0
2022-01-09,3,0,34,0,0
2022-01-16,3,0,31,0,0
2022-01-23,3,0,30,0,0
2022-01-30,3,0,35,0,0
2022-02-06,3,0,31,0,0
2022-02-13,3,0,34,0,0
2022-02-20,3,0,33,0,0
2022-02-27,3,0,32,0,0
2022-03-06,4,0,33,0,0
2022-03-13,3,0,30,0,0
2022-03-20,3,0,35,0,0
2022-03-27,3,0,33,0,0
2022-04-03,2,0,33,0,0
2022-04-10,2,0,35,0,0
2022-04-17,3,0,38,0,0
2022-04-24,2,0,41,0,0
2022-05-01,2,0,40,0,0
2022-05-08,2,0,36,0,0
2022-05-15,2,0,35,0,0
2022-05-22,3,0,32,0,0
2022-05-29,3,0,34,0,0
2022-06-05,2,0,30,1,0
2022-06-12,3,0,28,1,0
2022-06-19,3,0,32,1,0
2022-06-26,3,0,34,0,0
2022-07-03,3,0,32,0,0
2022-07-10,3,0,34,0,0
2022-07-17,3,0,36,1,0
2022-07-24,3,0,35,1,0
2022-07-31,3,0,36,0,0
2022-08-07,3,0,36,0,0
2022-08-14,3,0,34,1,0
2022-08-21,4,0,33,0,0
2022-08-28,3,0,32,0,0
2022-09-04,3,0,29,0,0
2022-09-11,3,0,28,0,0
2022-09-18,3,0,32,1,0
2022-09-25,3,0,34,0,0
2022-10-02,3,0,32,0,0
2022-10-09,3,0,28,0,0
2022-10-16,4,0,31,0,0
2022-10-23,3,0,30,1,0
2022-10-30,3,0,31,0,0
2022-11-06,4,0,35,1,0
2022-11-13,4,0,57,1,0
2022-11-20,5,0,53,1,0
2022-11-27,4,0,53,1,0
2022-12-04,3,0,77,1,0
2022-12-11,4,0,70,2,0
2022-12-18,5,0,57,0,0
2022-12-25,6,0,58,1,0
2023-01-01,4,0,41,2,0
2023-01-08,4,0,41,1,0
2023-01-15,4,0,42,2,0
2023-01-22,8,0,38,0,0
2023-01-29,6,0,37,1,0
2023-02-05,4,0,34,0,0
2023-02-12,5,0,35,1,0
2023-02-19,4,0,36,2,0
2023-02-26,4,0,34,1,0
2023-03-05,4,0,33,0,0
2023-03-12,6,0,32,2,0
2023-03-19,4,0,35,2,0
2023-03-26,4,0,42,1,0
